Kod;Nazwa;SB2004;SB2010;SB2021;SB2023
1207000;limanowski;24.1;17.2;8.1;7.3
1208000;miechowski;13.3;9.7;5.3;5.2
1209000;myślenicki;16.9;12.8;3.2;3.0
1210000;nowosądecki;29.3;17.6;9.6;8.7
1211000;nowotarski;14.0;12.4;7.2;4.9
1212000;olkuski;19.0;14.2;7.5;6.7
1213000;oświęcimski;18.2;12.4;6.0;4.9
1214000;proszowicki;11.9;11.9;6.3;6.3
1215000;suski;14.4;10.4;5.5;4.7
1216000;tarnowski;18.5;13.6;8.2;6.7
1217000;tatrzański;13.1;10.0;8.1;8.1
1218000;wadowicki;15.5;12.0;5.6;5.4
1219000;wielicki;18.5;10.9;4.5;3.4
1261000;Kraków;7.5;4.7;2.8;1.9
1262000;Nowy Sącz;17.2;9.8;3.1;3.5
1263000;Tarnów;12.2;9.2;4.2;4.1
1401000;białobrzeski;20.0;14.7;9.1;7.4
1402000;ciechanowski;22.6;16.2;8.8;8.0
1403000;garwoliński;17.1;12.4;10.5;9.0
1404000;gostyniński;29.2;20.9;13.2;11.8
1405000;grodziski;13.4;6.5;3.5;2.8
1406000;grójecki;10.0;7.8;2.3;2.7
1407000;kozienicki;19.4;17.8;11.8;9.9
1408000;legionowski;21.9;11.2;7.4;5.8
1409000;lipski;19.3;15.6;13.2;12.5
1410000;łosicki;16.4;11.0;6.6;4.9
1411000;makowski;25.6;21.5;18.8;16.2
1412000;miński;17.9;9.5;4.9;4.5
1413000;mławski;28.6;14.1;5.9;5.9
1414000;nowodworski;21.5;12.4;6.3;5.6
1415000;ostrołęcki;25.1;17.7;11.5;9.3
1416000;ostrowski;19.7;17.1;9.8;8.6
1417000;otwocki;15.4;8.4;4.3;3.4
1418000;piaseczyński;9.6;7.4;3.1;3.5
1419000;płocki;29.7;20.1;13.0;9.6
1420000;płoński;24.0;16.6;9.5;9.9
1421000;pruszkowski;11.4;6.8;2.9;2.1
1422000;przasnyski;23.3;15.1;9.4;9.2
1423000;przysuski;28.5;26.5;19.3;18.8
1424000;pułtuski;25.0;19.7;15.1;13.3
1425000;radomski;35.2;30.8;19.0;16.5
1426000;siedlecki;17.7;11.1;5.1;4.8
1427000;sierpecki;26.1;21.2;14.7;11.5
1428000;sochaczewski;15.9;10.1;4.2;2.4
1429000;sokołowski;14.8;10.1;6.1;5.1
1430000;szydłowiecki;40.6;36.0;26.3;24.2
1432000;warszawski zachodni;11.7;5.9;1.8;1.6
1433000;węgrowski;21.8;15.2;7.1;5.3
1434000;wołomiński;21.7;13.1;7.5;5.8
1435000;wyszkowski;27.6;15.8;3.8;3.4
1436000;zwoleński;21.5;20.6;13.9;12.2
1437000;żuromiński;27.8;21.5;17.1;13.8
1438000;żyrardowski;19.1;13.7;9.8;8.5
1461000;Ostrołęka;24.0;15.1;8.2;7.5
1462000;Płock;19.6;11.0;6.1;5.4
1463000;Radom;28.2;22.7;10.5;9.4
1464000;Siedlce;15.8;9.6;4.3;3.5
1465000;st. Warszawa;6.2;3.5;1.7;1.4
1601000;brzeski;30.2;20.5;8.3;8.2
1602000;głubczycki;22.8;17.9;10.6;10.2
1603000;kędzierzyńsko-kozielski;15.7;13.1;8.1;7.3
1604000;kluczborski;24.3;15.5;7.9;6.8
1605000;krapkowicki;14.0;10.9;5.9;5.1
1606000;namysłowski;29.1;18.6;9.0;8.9
1607000;nyski;31.9;19.4;8.4;7.2
1608000;oleski;12.2;8.9;4.6;4.5
1609000;opolski;18.5;13.1;6.7;5.7
1610000;prudnicki;19.6;18.6;9.1;9.1
1611000;strzelecki;16.5;11.7;4.6;4.4
1661000;Opole;9.9;6.4;3.2;2.9
1801000;bieszczadzki;30.4;22.2;17.3;15.4
1802000;brzozowski;28.2;22.5;22.3;20.8
1803000;dębicki;19.0;11.7;5.3;4.7
1804000;jarosławski;19.8;18.5;13.3;10.6
1805000;jasielski;23.6;17.2;14.1;13.2
1806000;kolbuszowski;22.4;16.7;9.4;7.6
1807000;krośnieński;21.7;17.5;7.8;8.3
1808000;leżajski;20.6;18.3;17.4;14.5
1809000;lubaczowski;23.3;17.9;12.4;10.6
1810000;łańcucki;19.9;16.8;12.3;9.6
1811000;mielecki;15.8;13.9;5.1;5.2
1812000;niżański;23.9;23.6;18.6;16.4
1813000;przemyski;23.4;20.1;20.5;15.5
1814000;przeworski;18.9;18.4;15.9;13.6
1815000;ropczycko-sędziszowski;22.3;18.7;13.1;10.4
1816000;rzeszowski;19.0;13.1;9.8;7.6
1817000;sanocki;22.0;13.2;7.4;8.1
